Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day.1_% Px Chng ,$ Change_Opening,$ Change.1_Close,Star_Ratings,Performed
2005-12-14,Copa Holdings S.A. ,CPA,Morgan Stanley/Goldman Sachs,20.0,22.53,24.25,0.2125,2.5300000000000007,4.25,3,
2005-12-15,Endeavor Acquisition,EDA-U,Ladenburg Thalmann/Broadband Capital Markets,8.0,8.01,8.0,0.0,0.009999999999999787,0.0,1,
2005-12-15,Directed Electronics ,DEIX,Goldman Sachs/JP Morgan,16.0,17.0,14.0,-0.125,1.0,-2.0,3,
2005-12-15,Emergency Medical Services ,EMS,Banc of America/JP Morgan,14.0,14.0,13.1,-0.06428571428571431,0.0,-0.9000000000000004,1,
2005-12-15,Spansion ,SPSN,Citigroup/Credit Suisse First Boston,12.0,12.0,13.55,0.12916666666666676,0.0,1.5500000000000007,1,
2005-12-16,Star Maritime Acquisition ,SEA-U,Maxim Group/EarlyBirdCapital,10.0,9.9,9.92,-0.008000000000000007,-0.09999999999999963,-0.08000000000000007,1,
2005-12-16,Boulder Specialty Brands ,BDSBU,Citigroup/Roth Capital Partners,8.0,9.0,9.0,0.125,1.0,1.0,1,
2005-12-20,CRM Holdings ,CRMH,Sandler O'Neill/KeyBanc Capital Markets,13.0,13.11,13.0,0.0,0.10999999999999943,0.0,2,Missed
2005-12-20,Pixelplus Ltd. ,PXPL,Jefferies Broadview/WR Hambracht+Co.,8.0,8.03,8.01,0.0012499999999999734,0.029999999999999364,0.009999999999999787,1,
2005-12-21,NUCRYST Pharmaceuticals ,NCST,Jefferies,10.0,10.0,10.0,0.0,0.0,0.0,1,
2004-01-08,K-Sea Transportation Partners ,KSP,Lehman Brothers/UBS Investment Bank,23.5,26.5,27.09,0.15276595744680851,3.0,3.59,2,
2004-01-12,Crosstex Energy ,XTXI,AG Edwrads,19.5,23.25,25.4,0.3025641025641025,3.75,5.899999999999999,2,
2004-01-22,Portec Rail Products ,PRPX,Ferris Baker Watts,10.0,10.3,9.96,-0.003999999999999915,0.3000000000000007,-0.03999999999999915,1,
2004-01-26,Government Properties Trust ,GPP,Friedman Billings Ramsey,10.0,13.9,13.02,0.30199999999999994,3.9,3.02,2,
2004-01-29,Eyetech Pharmaceuticals ,EYET,Merrill Lynch/Morgan Stanley,21.0,29.5,32.4,0.5428571428571428,8.5,11.4,3,
2004-02-02,TRW Automotive ,TRW,Goldman Sachs/CS First Boston/JP Morgan,28.0,27.35,27.1,-0.032142857142857084,-0.6499999999999986,-0.8999999999999986,3,Missed
2004-02-02,GTx ,GTXI,Goldman Sachs,14.5,15.27,12.9,-0.11034482758620688,0.7699999999999996,-1.5999999999999996,2,
2004-02-02,The Bancorp Bank ,TBBK,Friedman Billings Ramsey,12.5,15.15,16.0,0.28,2.6500000000000004,3.5,2,
2004-02-04,Asset Acceptance Capital ,AACC,Bear Stearns,15.0,16.66,16.68,0.11199999999999996,1.66,1.6799999999999995,3,
2004-02-04,Assurant ,AIZ,Morgan Stanley,22.0,23.75,24.7,0.1227272727272727,1.75,2.6999999999999997,3,
2004-02-04,Renovis ,RNVS,Goldman Sachs,12.0,12.5,14.5,0.20833333333333331,0.5,2.5,2,
2004-02-04,TODCO ,THE,Morgan Stanley,12.0,13.55,13.7,0.1416666666666666,1.5500000000000007,1.6999999999999993,2,
2004-02-05,Bakers Footwear Group ,BKRS,Ryan Beck/BB&T Capital,7.75,8.7,8.29,0.0696774193548386,0.9499999999999992,0.5399999999999991,2,
2004-02-05,Staktex Holdings ,STAK,Morgan Stanley/Merrill Lynch,13.0,14.48,14.88,0.14461538461538467,1.4800000000000004,1.8800000000000008,3,
2004-02-05,Symbion ,SMBI,Credit Suisse First Boston,15.0,18.0,18.63,0.24199999999999994,3.0,3.629999999999999,3,
2004-02-06,AlphaSmart ,ALSM,Jefferies,6.0,6.99,6.19,0.03166666666666673,0.9900000000000002,0.1900000000000004,1,
2004-02-11,Affordable Residential Communities ,ARC,Citigroup/Merrill Lynch,19.0,19.1,19.0,0.0,0.10000000000000142,0.0,2,Missed
2004-02-11,Bristol West Holdings ,BRW,Credit Suisse First Boston/Bear Stearns,20.0,22.75,22.8,0.14000000000000004,2.75,2.8000000000000007,3,
2004-02-11,Atheros Communications ,ATHR,Morgan Stanley/Lehman Brothers,14.0,18.75,17.6,0.25714285714285723,4.75,3.6000000000000014,3,
2004-02-11,Corgentech ,CGTK,Credit Suisse First Boston/Lehman Brothers,16.0,18.0,21.4,0.3374999999999999,2.0,5.399999999999999,2,
2004-02-13,CEA Acquisition,CEACU,EarlyBirdCapital/GunnAllen,6.0,6.6,6.06,0.009999999999999934,0.5999999999999996,0.05999999999999961,1,
2004-02-18,Dynavax Technologies ,DVAX,Bear Stearns/Deutsche Bank,7.5,8.3,9.4,0.2533333333333333,0.8000000000000007,1.9000000000000004,1,
2004-02-19,Cherokee International,CHRK,Credit Suisse First Boston,14.5,16.75,16.5,0.13793103448275862,2.25,2.0,1,
2004-02-23,Kinetic Concepts ,KCI,Merrill Lynch/JP Morgan,30.0,33.5,40.4,0.3466666666666666,3.5,10.4,3,
2004-03-03,Linktone,LTON,Credit Suisse First Boston,14.0,19.01,17.42,0.2442857142857144,5.010000000000002,3.4200000000000017,3,
2004-03-10,TOM Online,TOMO,Citigroup/Morgan Stanley,15.55,15.75,15.58,0.0019292604501607304,0.1999999999999993,0.029999999999999364,4,Missed
2004-03-15,TNS ,TNS,JP Morgan/Lehman Brothers,18.0,18.5,18.0,0.0,0.5,0.0,3,Missed
2004-03-15,Xcyte Therapies ,XCYT,Piper Jaffray/RBC Capital Markets,8.0,8.5,7.31,-0.08625000000000005,0.5,-0.6900000000000004,1,
2004-03-16,Tercica ,TRCA,Lehman Brothers/SG Cowen,9.0,9.0,9.0,0.0,0.0,0.0,1,
2004-03-17,Semiconductor Mfg Int'l,SMI,Credit Suisse First Boston/Deutsche Bank,17.5,17.0,15.52,-0.11314285714285716,-0.5,-1.9800000000000004,2,Missed
